label,text
ham,"The product deployment went smoothly, all tests passed in staging."
ham,Following up on our conversation about engineering. I've included the updated numbers.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,Your PayPal account has been LIMITED. Confirm your details now: bit.ly/claim-now
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,"I've shared the billing folder with you on the drive, let me know if access works."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at quickcash-offer.com.
ham,"Hey, are we still on for lunch this week to talk about the design project?"
spam,Get rich quick with crypto trading bot! Turn $100 into $500 in one week.
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
ham,Following up on our conversation about product. I've included the updated numbers.
spam,"Limited time offer! Get 100% off all products, buy now before it's gone!"
ham,Can we move our product call to 3pm tomorrow? Let me know if that works.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Please review the attached document about design and share your feedback by Friday.
ham,Your order has shipped and should arrive within 3-5 business days.
ham,Can we move our budget call to 3pm tomorrow? Let me know if that works.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Your package could not be delivered. Update your payment info at quickcash-offer.com to reschedule.
ham,Reminder: the billing workshop starts at 10am in the main conference room.
ham,"The weather looks great this weekend, want to go hiking with the billing group?"
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,Let's schedule a quick sync about the billing roadmap for next quarter.
ham,Attached is the invoice for last month's marketing services. Let me know if you need anything else.
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
ham,Thank you for your purchase. Your receipt for budget services is attached.
spam,URGENT: Your account will be suspended. Verify your identity immediately at secure-verify-account.com
ham,Could you send me the latest version of the product spreadsheet when you get a chance?
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
spam,Hot singles in your area want to meet you tonight! Sign up free at quickcash-offer.com
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Thank you for your purchase. Your receipt for sales services is attached.
ham,Thank you for your purchase. Your receipt for engineering services is attached.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,Your PayPal account has been LIMITED. Confirm your details now: quickcash-offer.com
ham,Thank you for your purchase. Your receipt for design services is attached.
spam,FINAL NOTICE: Your domain registration expires today. Renew now at bit.ly/claim-now.
spam,"Dear customer, unusual activity was detected. Verify your bank account now at win-big-today.net."
spam,FREE gift card worth $100! Just complete this short survey to claim yours.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
ham,Following up on our conversation about budget. I've included the updated numbers.
spam,Hot singles in your area want to meet you tonight! Sign up free at secure-verify-account.com
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Your order has shipped and should arrive within 3-5 business days.
ham,"Team standup notes: design is on track, no blockers reported this week."
ham,"I've shared the sales folder with you on the drive, let me know if access works."
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
ham,Let's schedule a quick sync about the marketing roadmap for next quarter.
spam,Your PayPal account has been LIMITED. Confirm your details now: secure-verify-account.com
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,Your package could not be delivered. Update your payment info at bit.ly/claim-now to reschedule.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
spam,URGENT: Your account will be suspended. Verify your identity immediately at bit.ly/claim-now
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
spam,Get rich quick with crypto trading bot! Turn $100 into $5000 in one week.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
ham,Great catching up at the product conference — let's stay in touch.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,URGENT: Your account will be suspended. Verify your identity immediately at bit.ly/claim-now
spam,CONGRATULATIONS! You have WON a $250 prize! Click here now to claim: quickcash-offer.com
ham,"Team standup notes: sales is on track, no blockers reported this week."
ham,"Hi Alex, just checking in on the sales report — do you have an update?"
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at win-big-today.net.
ham,Let's schedule a quick sync about the billing roadmap for next quarter.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Can we move our sales call to 3pm tomorrow? Let me know if that works.
ham,"The marketing deployment went smoothly, all tests passed in staging."
spam,FREE gift card worth $1000! Just complete this short survey to claim yours.
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,Your order has shipped and should arrive within 3-5 business days.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,Get rich quick with crypto trading bot! Turn $100 into $100 in one week.
spam,"Cheap meds online, no prescription needed! Order today and save 250%."
spam,Hot singles in your area want to meet you tonight! Sign up free at bit.ly/claim-now
spam,Hot singles in your area want to meet you tonight! Sign up free at quickcash-offer.com
spam,URGENT: Your account will be suspended. Verify your identity immediately at secure-verify-account.com
spam,"Work from home and earn $5000 per week! No experience needed, click win-big-today.net"
ham,Can we move our marketing call to 3pm tomorrow? Let me know if that works.
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
spam,"Limited time offer! Get 5000% off all products, buy now before it's gone!"
ham,Your order has shipped and should arrive within 3-5 business days.
spam,CONGRATULATIONS! You have WON a $100 prize! Click here now to claim: secure-verify-account.com
ham,"The onboarding deployment went smoothly, all tests passed in staging."
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,Reminder: the marketing workshop starts at 10am in the main conference room.
spam,Make money fast with this proven system! Guaranteed income of $5000 monthly.
ham,Let's schedule a quick sync about the onboarding roadmap for next quarter.
ham,Your order has shipped and should arrive within 3-5 business days.
spam,Hot singles in your area want to meet you tonight! Sign up free at bit.ly/claim-now
ham,Great catching up at the billing conference — let's stay in touch.
spam,"Limited time offer! Get 250% off all products, buy now before it's gone!"
ham,"Hey, are we still on for lunch this week to talk about the billing project?"
spam,You've been selected for a free iPhone! Claim your prize before it expires.
spam,Your PayPal account has been LIMITED. Confirm your details now: quickcash-offer.com
spam,"Cheap meds online, no prescription needed! Order today and save 1000%."
ham,Let's schedule a quick sync about the billing roadmap for next quarter.
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Here are the slides from today's engineering presentation for your records.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Here are the slides from today's billing presentation for your records.
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
ham,Can we move our onboarding call to 3pm tomorrow? Let me know if that works.
spam,URGENT: Your account will be suspended. Verify your identity immediately at bit.ly/claim-now
spam,CONGRATULATIONS! You have WON a $5000 prize! Click here now to claim: secure-verify-account.com
spam,WINNER! Your email address has won the international lottery. Reply to claim $500.
ham,"Thanks for the meeting notes yesterday, really helpful ahead of the engineering review."
ham,Thank you for your purchase. Your receipt for product services is attached.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
ham,Thank you for your purchase. Your receipt for billing services is attached.
ham,"Team standup notes: design is on track, no blockers reported this week."
ham,Thank you for your purchase. Your receipt for marketing services is attached.
ham,"Hey, are we still on for lunch this week to talk about the engineering project?"
spam,CONGRATULATIONS! You have WON a $100 prize! Click here now to claim: win-big-today.net
ham,"The budget deployment went smoothly, all tests passed in staging."
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
spam,"Cheap meds online, no prescription needed! Order today and save 500%."
spam,Your PayPal account has been LIMITED. Confirm your details now: bit.ly/claim-now
spam,FINAL NOTICE: Your domain registration expires today. Renew now at bit.ly/claim-now.
spam,Get rich quick with crypto trading bot! Turn $100 into $500 in one week.
ham,Can we move our engineering call to 3pm tomorrow? Let me know if that works.
ham,"Team standup notes: sales is on track, no blockers reported this week."
ham,Great catching up at the product conference — let's stay in touch.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,"Team standup notes: engineering is on track, no blockers reported this week."
spam,"Dear customer, unusual activity was detected. Verify your bank account now at secure-verify-account.com."
ham,"Team standup notes: engineering is on track, no blockers reported this week."
spam,"Dear customer, unusual activity was detected. Verify your bank account now at win-big-today.net."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at secure-verify-account.com.
ham,Can we move our sales call to 3pm tomorrow? Let me know if that works.
ham,Your order has shipped and should arrive within 3-5 business days.
ham,"Hi Liam, just checking in on the sales report — do you have an update?"
ham,"Hey, are we still on for lunch this week to talk about the onboarding project?"
spam,"Cheap meds online, no prescription needed! Order today and save 1000%."
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,Reminder: the marketing workshop starts at 10am in the main conference room.
ham,Here are the slides from today's marketing presentation for your records.
spam,WINNER! Your email address has won the international lottery. Reply to claim $5000.
ham,"The marketing deployment went smoothly, all tests passed in staging."
ham,"The weather looks great this weekend, want to go hiking with the engineering group?"
ham,"I've shared the design folder with you on the drive, let me know if access works."
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,"The weather looks great this weekend, want to go hiking with the product group?"
ham,"Team standup notes: budget is on track, no blockers reported this week."
spam,"Dear customer, unusual activity was detected. Verify your bank account now at win-big-today.net."
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
spam,WINNER! Your email address has won the international lottery. Reply to claim $5000.
spam,CONGRATULATIONS! You have WON a $250 prize! Click here now to claim: quickcash-offer.com
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Attached is the invoice for last month's sales services. Let me know if you need anything else.
spam,Your PayPal account has been LIMITED. Confirm your details now: bit.ly/claim-now
ham,"Team standup notes: billing is on track, no blockers reported this week."
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,Reminder: the marketing workshop starts at 10am in the main conference room.
ham,Following up on our conversation about billing. I've included the updated numbers.
ham,Here are the slides from today's onboarding presentation for your records.
ham,"Hi Fatima, just checking in on the billing report — do you have an update?"
spam,You've been selected for a free iPhone! Claim your prize before it expires.
ham,"Team standup notes: budget is on track, no blockers reported this week."
spam,"Dear customer, unusual activity was detected. Verify your bank account now at quickcash-offer.com."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at bit.ly/claim-now.
ham,"The weather looks great this weekend, want to go hiking with the onboarding group?"
spam,"Limited time offer! Get 500% off all products, buy now before it's gone!"
ham,Let's schedule a quick sync about the billing roadmap for next quarter.
ham,Can we move our design call to 3pm tomorrow? Let me know if that works.
ham,Great catching up at the onboarding conference — let's stay in touch.
spam,Your package could not be delivered. Update your payment info at win-big-today.net to reschedule.
ham,Can we move our product call to 3pm tomorrow? Let me know if that works.
ham,"Hi Sam, just checking in on the engineering report — do you have an update?"
ham,Here are the slides from today's design presentation for your records.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
ham,"Hi Priya, just checking in on the design report — do you have an update?"
spam,Hot singles in your area want to meet you tonight! Sign up free at bit.ly/claim-now
ham,Your order has shipped and should arrive within 3-5 business days.
ham,Thank you for your purchase. Your receipt for sales services is attached.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
ham,Reminder: the onboarding workshop starts at 10am in the main conference room.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Your PayPal account has been LIMITED. Confirm your details now: quickcash-offer.com
ham,"I've shared the sales folder with you on the drive, let me know if access works."
spam,FINAL NOTICE: Your domain registration expires today. Renew now at bit.ly/claim-now.
spam,"Limited time offer! Get 250% off all products, buy now before it's gone!"
spam,CONGRATULATIONS! You have WON a $250 prize! Click here now to claim: win-big-today.net
spam,"Limited time offer! Get 5000% off all products, buy now before it's gone!"
ham,"Team standup notes: marketing is on track, no blockers reported this week."
ham,"Team standup notes: onboarding is on track, no blockers reported this week."
ham,Your order has shipped and should arrive within 3-5 business days.
ham,"Hi Jordan, just checking in on the onboarding report — do you have an update?"
ham,"The product deployment went smoothly, all tests passed in staging."
spam,Lose 20 pounds in 2 weeks with this ONE weird trick doctors don't want you to know!
ham,Here are the slides from today's budget presentation for your records.
ham,Please review the attached document about engineering and share your feedback by Friday.
ham,Your order has shipped and should arrive within 3-5 business days.
spam,FREE gift card worth $100! Just complete this short survey to claim yours.
spam,FREE gift card worth $1000! Just complete this short survey to claim yours.
ham,Attached is the invoice for last month's engineering services. Let me know if you need anything else.
spam,"Cheap meds online, no prescription needed! Order today and save 250%."
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
ham,Thank you for your purchase. Your receipt for engineering services is attached.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Following up on our conversation about billing. I've included the updated numbers.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,Here are the slides from today's marketing presentation for your records.
ham,Could you send me the latest version of the sales spreadsheet when you get a chance?
spam,"Cheap meds online, no prescription needed! Order today and save 250%."
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,"I've shared the marketing folder with you on the drive, let me know if access works."
spam,You've been selected for a free iPhone! Claim your prize before it expires.
spam,FINAL NOTICE: Your domain registration expires today. Renew now at secure-verify-account.com.
spam,WINNER! Your email address has won the international lottery. Reply to claim $1000.
spam,You've been selected for a free iPhone! Claim your prize before it expires.
spam,Your PayPal account has been LIMITED. Confirm your details now: win-big-today.net
spam,"Limited time offer! Get 100% off all products, buy now before it's gone!"
ham,Could you send me the latest version of the engineering spreadsheet when you get a chance?
ham,Your order has shipped and should arrive within 3-5 business days.
spam,"Dear customer, unusual activity was detected. Verify your bank account now at bit.ly/claim-now."
ham,Following up on our conversation about marketing. I've included the updated numbers.
ham,"Hi Alex, just checking in on the design report — do you have an update?"
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
spam,"Work from home and earn $5000 per week! No experience needed, click secure-verify-account.com"
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
ham,Great catching up at the design conference — let's stay in touch.
ham,Following up on our conversation about product. I've included the updated numbers.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,"Cheap meds online, no prescription needed! Order today and save 500%."
spam,"Work from home and earn $5000 per week! No experience needed, click bit.ly/claim-now"
ham,"Hey, are we still on for lunch this week to talk about the billing project?"
spam,"Limited time offer! Get 100% off all products, buy now before it's gone!"
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
spam,URGENT: Your account will be suspended. Verify your identity immediately at quickcash-offer.com
spam,"Work from home and earn $5000 per week! No experience needed, click quickcash-offer.com"
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
spam,"Limited time offer! Get 1000% off all products, buy now before it's gone!"
spam,WINNER! Your email address has won the international lottery. Reply to claim $100.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
spam,"Work from home and earn $5000 per week! No experience needed, click win-big-today.net"
spam,"Limited time offer! Get 1000% off all products, buy now before it's gone!"
ham,Can we move our engineering call to 3pm tomorrow? Let me know if that works.
ham,Please review the attached document about marketing and share your feedback by Friday.
spam,URGENT: Your account will be suspended. Verify your identity immediately at bit.ly/claim-now
ham,"Thanks for the meeting notes yesterday, really helpful ahead of the product review."
spam,Your subscription payment failed. Update billing info immediately to avoid suspension.
ham,"I've shared the product folder with you on the drive, let me know if access works."
ham,Your order has shipped and should arrive within 3-5 business days.
spam,"Limited time offer! Get 1000% off all products, buy now before it's gone!"
ham,"I've shared the billing folder with you on the drive, let me know if access works."
spam,"Exclusive investment opportunity! Double your money guaranteed, risk-free returns."
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
spam,FREE gift card worth $5000! Just complete this short survey to claim yours.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,FREE gift card worth $1000! Just complete this short survey to claim yours.
ham,Following up on our conversation about product. I've included the updated numbers.
ham,"Team standup notes: engineering is on track, no blockers reported this week."
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,Great catching up at the budget conference — let's stay in touch.
ham,Here are the slides from today's engineering presentation for your records.
spam,CONGRATULATIONS! You have WON a $500 prize! Click here now to claim: secure-verify-account.com
ham,Please review the attached document about design and share your feedback by Friday.
ham,Reminder: the design workshop starts at 10am in the main conference room.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,"Hi Maria, just checking in on the billing report — do you have an update?"
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
spam,Your PayPal account has been LIMITED. Confirm your details now: bit.ly/claim-now
ham,Your order has shipped and should arrive within 3-5 business days.
spam,"Work from home and earn $5000 per week! No experience needed, click secure-verify-account.com"
spam,Hot singles in your area want to meet you tonight! Sign up free at win-big-today.net
ham,Please review the attached document about engineering and share your feedback by Friday.
ham,"Quick reminder that rent is due on the 1st of next month, thanks!"
ham,"Team standup notes: design is on track, no blockers reported this week."
ham,Happy birthday! Hope you have a wonderful day with family and friends.
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,Let's schedule a quick sync about the design roadmap for next quarter.
ham,"Thanks for the meeting notes yesterday, really helpful ahead of the engineering review."
spam,Act now! This offer expires in 24 hours. Call now to lock in your discount.
spam,"You are pre-approved for a $50000 loan. No credit check required, apply now!"
ham,Can we move our design call to 3pm tomorrow? Let me know if that works.
spam,"Limited time offer! Get 250% off all products, buy now before it's gone!"
ham,Reminder: the marketing workshop starts at 10am in the main conference room.
ham,"Hi Jordan, just checking in on the design report — do you have an update?"
ham,"Hey, are we still on for lunch this week to talk about the engineering project?"
ham,Let's schedule a quick sync about the budget roadmap for next quarter.
spam,Get rich quick with crypto trading bot! Turn $100 into $250 in one week.
ham,Reminder: the onboarding workshop starts at 10am in the main conference room.
spam,Your package could not be delivered. Update your payment info at secure-verify-account.com to reschedule.
ham,"Hi Sam, just checking in on the design report — do you have an update?"
ham,Great catching up at the onboarding conference — let's stay in touch.
spam,FREE gift card worth $250! Just complete this short survey to claim yours.
